Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
ALDI,OPERATIONAL,"2541 West 95th Street, Evergreen Park",1,4.4,1101,"['supermarket', 'grocery_or_supermarket']",41.71973089999999,-87.68663459999999
Walmart Supercenter,OPERATIONAL,"2500 West 95th Street, Evergreen Park",1,3.9,8069,['grocery_or_supermarket'],41.7218551,-87.6859588
Walgreens,OPERATIONAL,"1633 West 95th Street, Chicago",2,2.5,147,"['drugstore', 'convenience_store']",41.7206251,-87.6635393
Jewel-Osco,OPERATIONAL,"9400 South Ashland Avenue, Chicago",2,4.1,2100,"['grocery_or_supermarket', 'supermarket']",41.7229691,-87.6633909
Edible Arrangements,OPERATIONAL,"9945 South Halsted Street, Chicago",Price information not available,1.9,180,['grocery_or_supermarket'],41.7128833,-87.64262339999999
Black Planet Products - Smell Goods,OPERATIONAL,"107 West 95th Street, Chicago",Price information not available,4.9,45,['grocery_or_supermarket'],41.72142280000001,-87.6266082
Tasty Chicken & Salad Wentworth AVE,OPERATIONAL,"159 West 95th Street, Chicago",1,4.2,127,['convenience_store'],41.72139800000001,-87.62848
bp,OPERATIONAL,"400 East 95th Street, Chicago",Price information not available,2.5,10,"['supermarket', 'grocery_or_supermarket']",41.722166,-87.6138174
Eddie's Food & Liquor,OPERATIONAL,"9809 South Cottage Grove Avenue, Chicago",Price information not available,4,40,['convenience_store'],41.7162838,-87.6041566
Jewel-Osco,OPERATIONAL,"1655 East 95th Street, Chicago",2,4.2,2506,"['grocery_or_supermarket', 'supermarket']",41.7205224,-87.58271189999999
Jewel-Osco Pharmacy,OPERATIONAL,"1655 East 95th Street, Chicago",2,4.7,19,['drugstore'],41.720589,-87.5831906
Shell,OPERATIONAL,"1611 East 95th Street, Chicago",2,3.9,74,['convenience_store'],41.72176899999999,-87.584406
Marathon Gas,OPERATIONAL,"1835 East 95th Street, Chicago",Price information not available,3.2,22,['convenience_store'],41.722214,-87.57862449999999
Dollar General,OPERATIONAL,"9520 South Jeffery Boulevard, Chicago",1,4.1,412,"['drugstore', 'convenience_store', 'grocery_or_supermarket']",41.7216167,-87.5756224
Circle K,OPERATIONAL,"1611 East 95th Street, Chicago",1,2.5,14,['convenience_store'],41.7216913,-87.5841078
ALDI,OPERATIONAL,"2333 East 95th Street, Chicago",1,4.3,1181,"['supermarket', 'grocery_or_supermarket']",41.7222008,-87.5667186
Super Leon,OPERATIONAL,"9800 South Avenue L #1, Chicago",Price information not available,4.5,47,['grocery_or_supermarket'],41.71762639999999,-87.5365856
Lily's Supermarket,OPERATIONAL,"9863 South Ewing Avenue, Chicago",Price information not available,4.5,276,"['grocery_or_supermarket', 'supermarket']",41.7159783,-87.5350187
Citibank Atm,OPERATIONAL,"8700 Archer Avenue, Willow Springs",Price information not available,No rating,No ratings,['convenience_store'],41.7319805,-87.87772079999999
Dollar General,OPERATIONAL,"8821 West 87th Street, Hickory Hills",1,3.7,340,"['convenience_store', 'drugstore', 'grocery_or_supermarket']",41.7312882,-87.8393382
CVS,OPERATIONAL,"8811 West 87th Street, Hickory Hills",Price information not available,2.8,88,"['drugstore', 'convenience_store']",41.7322473,-87.83926310000001
Shell,OPERATIONAL,"9459 South Roberts Road, Hickory Hills",2,3.5,23,['convenience_store'],41.718926,-87.81740599999999
Shop & Save Market,OPERATIONAL,"8847 South Harlem Avenue, Bridgeview",Price information not available,4,1003,"['grocery_or_supermarket', 'supermarket']",41.7303031,-87.797505
Walgreens,OPERATIONAL,"8715 South Harlem Avenue, Bridgeview",2,3.7,63,"['drugstore', 'convenience_store']",41.7328041,-87.79756309999999
