Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Indian Hill Early Learning Center,OPERATIONAL,"12800 South Austin Avenue, Palos Heights",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6583782,-87.7687229
CELTS Aquatic Health & Wellness,OPERATIONAL,"5445 West 127th Street, Crestwood",Price information not available,No rating,No ratings,"['school', 'health', 'point_of_interest', 'establishment']",41.660616,-87.7547287
Elim Christian Services,OPERATIONAL,"13020 Central Avenue, Crestwood",Price information not available,4.1,18,"['school', 'point_of_interest', 'establishment']",41.655166,-87.758338
Southwest Ice Arena,OPERATIONAL,"5505 West 127th Street, Crestwood",Price information not available,4.1,74,"['school', 'health', 'point_of_interest', 'establishment']",41.6601899,-87.75533449999999
British Swim School at Crestwood Recreation & Wellness Center,OPERATIONAL,"5331 West 135th Street, Crestwood",Price information not available,4.6,45,"['school', 'health', 'point_of_interest', 'establishment']",41.6460593,-87.75134949999999
Eisenhower Cooperative,OPERATIONAL,"5318 135th Street, Crestwood",Price information not available,1,2,"['school', 'point_of_interest', 'establishment']",41.6476419,-87.7504718
Nathan Hale Middle School,OPERATIONAL,"5220 West 135th Street, Crestwood",Price information not available,4.2,17,"['school', 'point_of_interest', 'establishment']",41.6484223,-87.7489805
Nathan Hale Primary,OPERATIONAL,"5324 135th Street, Crestwood",Price information not available,No rating,No ratings,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6474969,-87.75087909999999
CELTS Aquatic Health & Wellness,OPERATIONAL,"5445 West 127th Street, Crestwood",Price information not available,No rating,No ratings,"['school', 'health', 'point_of_interest', 'establishment']",41.660616,-87.7547287
Delia M. Turner Elementary School,OPERATIONAL,"3847 West 135th Street, Robbins",Price information not available,5,3,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6470545,-87.7153374
Horace Mann Elementary School,OPERATIONAL,"2975 W Broadway Street, Blue Island",Price information not available,4,11,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.64936040000001,-87.6954442
Dwight D Eisenhower High School,OPERATIONAL,"12700 Sacramento Avenue, Blue Island",Price information not available,2.9,27,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.661215,-87.6952439
Whittier School,OPERATIONAL,"13043 Maple Avenue, Blue Island",Price information not available,4.3,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6556883,-87.68432159999999
Council Oak Montessori School,OPERATIONAL,"2521 Grove Street, Blue Island",Price information not available,4.7,22,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6542892,-87.68346799999999
Everett F Kerr Middle School,OPERATIONAL,"12915 Maple Avenue, Blue Island",Price information not available,4.4,7,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6585149,-87.6844121
Horace Mann Elementary School,OPERATIONAL,"2975 W Broadway Street, Blue Island",Price information not available,4,11,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.64936040000001,-87.6954442
St. Benedict School,OPERATIONAL,"2324 New Street, Blue Island",Price information not available,3.6,14,"['school', 'point_of_interest', 'establishment']",41.65663699999999,-87.67838929999999
Blue Island Music,OPERATIONAL,"2408 Union Street, Blue Island",Price information not available,4.8,5,"['school', 'point_of_interest', 'establishment']",41.6591128,-87.6805234
Council Oak Montessori School,OPERATIONAL,"2521 Grove Street, Blue Island",Price information not available,4.7,22,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6542892,-87.68346799999999
Whittier School,OPERATIONAL,"13043 Maple Avenue, Blue Island",Price information not available,4.3,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6556883,-87.68432159999999
St. Benedict School,OPERATIONAL,"2324 New Street, Blue Island",Price information not available,3.6,14,"['school', 'point_of_interest', 'establishment']",41.65663699999999,-87.67838929999999
Lincoln School,OPERATIONAL,"2140 Broadway Street, Blue Island",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.650922,-87.6745287
Blue Island Music,OPERATIONAL,"2408 Union Street, Blue Island",Price information not available,4.8,5,"['school', 'point_of_interest', 'establishment']",41.6591128,-87.6805234
Everett F Kerr Middle School,OPERATIONAL,"12915 Maple Avenue, Blue Island",Price information not available,4.4,7,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6585149,-87.6844121
Lincoln School,OPERATIONAL,"2140 Broadway Street, Blue Island",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.650922,-87.6745287
Calumet Middle School,OPERATIONAL,"1440 Vermont Street, Calumet Park",Price information not available,4.4,5,"['school', 'point_of_interest', 'establishment']",41.6604075,-87.6578789
St Isidore Catholic School,OPERATIONAL,"12731 South Wood Street, Blue Island",Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.6619816,-87.6650263
Calumet Middle School,OPERATIONAL,"1440 Vermont Street, Calumet Park",Price information not available,4.4,5,"['school', 'point_of_interest', 'establishment']",41.6604075,-87.6578789
George Patton School,OPERATIONAL,"13700 South Stewart Avenue, Riverdale",Price information not available,3.9,11,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6468376,-87.63151119999999
Dubois Elementary School,OPERATIONAL,"330 East 133rd Street, Chicago",Price information not available,3.6,10,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.653971,-87.61423270000002
CICS Lloyd Bond,OPERATIONAL,"13300 South Langley Avenue, Chicago",Price information not available,3.4,12,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6532109,-87.60553949999999
