Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69088410000001,-87.7854594
ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6877371,-87.7402238
ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6877371,-87.7402238
Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.683027,-87.70230939999999
Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6915627,-87.68031669999999
County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6968303,-87.6816877
Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6915627,-87.68031669999999
County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6968303,-87.6816877
bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.690209,-87.6642091
bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.690209,-87.6642091
Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6840881,-87.6204873
Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.682144,-87.53875099999999
Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.682144,-87.53875099999999
Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70475319999999,-87.8177022
bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69809,-87.79729999999999
Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69900870000001,-87.7974017
Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69756479999999,-87.7971469
bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69809,-87.79729999999999
Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'grocery_or_supermarket', 'bar', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",41.70528909999999,-87.8000798
Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69900870000001,-87.7974017
Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69756479999999,-87.7971469
Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69088410000001,-87.7854594
Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.706863,-87.6998763
County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6968303,-87.6816877
bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70608499999999,-87.6820142
County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6968303,-87.6816877
Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6915627,-87.68031669999999
bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70608499999999,-87.6820142
bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.690209,-87.6642091
